iter	Passed	Remaining
207	1674837	2351213
208	1683036	2343366
209	1692939	2337868
210	1703295	2332949
211	1713915	2328338
212	1724647	2323820
213	1732854	2315871
214	1741421	2308395
215	1751791	2303281
216	1762401	2298431
217	1772601	2292998
218	1781827	2286271
219	1790628	2278982
220	1798376	2270348
221	1807336	2263240
222	1816562	2256447
223	1826231	2250177
224	1833983	2241535
225	1842880	2234289
226	1851848	2227112
227	1861151	2220320
228	1870097	2213084
229	1879291	2206124
230	1890304	2201264
231	1900087	2194928
232	1908625	2187136
233	1916878	2179015
234	1926898	2172884
235	1936283	2166012
236	1944638	2157974
237	1952633	2149538
238	1963086	2143789
239	1971889	2136213
240	1980470	2128389
241	1989249	2120770
242	1999797	2115011
243	2009843	2108688
244	2017376	2099717
245	2028526	2094494
246	2038452	2087969
247	2048068	2081101
248	2058552	2075087
249	2066680	2066680
250	2074264	2057736
251	2084365	2051280
252	2091422	2041823
253	2100230	2034081
254	2108324	2025645
255	2115658	2016487
256	2123308	2007641
257	2132619	2000364
258	2141134	1992329
259	2150514	1985089
260	2160661	1978536
261	2168019	1969422
262	2178460	1963099
263	2187265	1955283
264	2197575	1948793
265	2208325	1942661
266	2216223	1934007
267	2224543	1925723
268	2233816	1918258
269	2242234	1910051
270	2251121	1902239
271	2260354	1894708
272	2268218	1886028
273	2277491	1878515
274	2285081	1869612
275	2293702	1861555
276	2302203	1853398
277	2312626	1846773
278	2322350	1839567
279	2332223	1832460
280	2342288	1825484
281	2352444	1818556
282	2362002	1811146
283	2370000	1802535
284	2379755	1795254
285	2389620	1788037
286	2398889	1780360
287	2408927	1773238
288	2417304	1764883
289	2426215	1756914
290	2433368	1747676
291	2442964	1740194
292	2451334	1731830
293	2459693	1723458
294	2470545	1716820
295	2480487	1709524
296	2488883	1701156
297	2497803	1693141
298	2507103	1685377
299	2516298	1677532
300	2527431	1670959
301	2536019	1662688
302	2544374	1654263
303	2554238	1646811
304	2564893	1639849
305	2573245	1631404
306	2582540	1623551
307	2589914	1614492
308	2600373	1607350
309	2610775	1600152
310	2618925	1591565
311	2626956	1582909
312	2636444	1575128
313	2645706	1567201
314	2652496	1557815
315	2663080	1550654
316	2673359	1543296
317	2683703	1535956
318	2693253	1528146
319	2703353	1520636
320	2711075	1511783
321	2721838	1504618
322	2731329	1496734
323	2742073	1489521
324	2750820	1481210
325	2761525	1473943
326	2770557	1465768
327	2779523	1457555
328	2789133	1449671
329	2799399	1442114
330	2808526	1433960
331	2817361	1425653
332	2827013	1417751
333	2836848	1409930
334	2846339	1401928
335	2856276	1394134
336	2865498	1385982
337	2877081	1378956
338	2888262	1371711
