iter	Accuracy	MultiClass
76	0.4382552909	1.870775319
77	0.4383157503	1.870563677
78	0.4389927661	1.867884366
79	0.4414248418	1.861254625
80	0.4447405763	1.854155236
81	0.4452968745	1.851732537
82	0.4451130833	1.845916038
83	0.4460274566	1.836301352
84	0.4460281579	1.836133579
85	0.4465946883	1.834845281
86	0.4465949997	1.834845042
87	0.4498370444	1.827989875
88	0.4501805553	1.82484236
89	0.4509273886	1.823092868
90	0.4503058551	1.82273247
91	0.4520220223	1.817570798
92	0.4568601189	1.811940934
93	0.4574282954	1.807311827
94	0.4579141997	1.80456811
95	0.4587877953	1.802848329
96	0.4586999861	1.797284839
97	0.4591706875	1.791515347
98	0.4602697545	1.786707792
99	0.4629087531	1.783251515
100	0.4617801218	1.782024622
101	0.4615113379	1.778658571
102	0.463593208	1.772342764
103	0.4657935233	1.766350871
104	0.4647242311	1.764852915
105	0.468824244	1.760979489
106	0.468485589	1.757615984
107	0.4712000235	1.751549065
108	0.4709444795	1.751462145
109	0.4744410494	1.747963676
110	0.4752842204	1.744723145
111	0.4752856272	1.744680648
112	0.4751905377	1.742766212
113	0.474473385	1.736605721
114	0.4747663728	1.736277582
115	0.4783718408	1.731949773
116	0.4788497105	1.731178103
117	0.4805774907	1.727767053
118	0.480035461	1.727253667
119	0.4799156538	1.724346655
120	0.4810848552	1.721674843
121	0.4811939954	1.720333356
122	0.4824230502	1.708311969
123	0.4849208064	1.706247521
124	0.4852860091	1.703052078
125	0.4857321168	1.699254459
126	0.4882366228	1.693229867
127	0.4890128295	1.688836511
128	0.4889678043	1.686441283
129	0.4894526893	1.681977418
130	0.4911974447	1.675556607
131	0.4912017979	1.675556189
132	0.4922693104	1.673771203
133	0.4940127721	1.669636285
134	0.4940764227	1.669636043
135	0.4946550153	1.66719031
136	0.4984664295	1.661589169
137	0.4974171171	1.660310132
138	0.5005882643	1.654408904
139	0.5013200007	1.646545458
140	0.5025957314	1.646205985
141	0.5051456163	1.639136024
142	0.5071663568	1.634327211
143	0.5104920057	1.624790393
144	0.5112884494	1.618988307
145	0.5125812017	1.615875579
146	0.5133736125	1.613943957
147	0.5148556224	1.607070074
148	0.5168420372	1.600632286
149	0.5180465254	1.595421554
150	0.5200562138	1.591000459
151	0.5220835416	1.584929502
152	0.5245222181	1.57838469
153	0.5269787386	1.575225695
154	0.5277560635	1.572588962
155	0.529085968	1.565769444
156	0.5311073443	1.561478796
157	0.5315204853	1.558597114
158	0.5354138289	1.551415773
159	0.5375164917	1.540084488
160	0.5391868954	1.533845821
161	0.5420033975	1.530418109
162	0.5437919601	1.522709152
163	0.5470260892	1.518268558
164	0.5484903479	1.513369008
165	0.5492455198	1.508445506
166	0.5505817692	1.503188045
167	0.5513707076	1.500049161
168	0.5515876797	1.493525666
169	0.5515580608	1.491668128
170	0.553548899	1.485764002
171	0.5538942225	1.483643453
172	0.5556615138	1.475378902
173	0.5562339353	1.474870058
174	0.5590903576	1.466071798
175	0.5606169704	1.461370829
176	0.5625481492	1.456859911
177	0.5646432499	1.452294662
178	0.5649340285	1.449939766
179	0.5652468511	1.448417907
180	0.5653557622	1.446170157
181	0.5654330535	1.442743194
182	0.5671386149	1.439980118
183	0.569060727	1.435529739
184	0.5689654599	1.431656191
185	0.5688572664	1.430517721
186	0.5701976956	1.426991618
187	0.5714321978	1.422583225
188	0.5728182588	1.41825366
189	0.5744262285	1.415903106
190	0.5746489035	1.411512988
191	0.5759754887	1.407156523
192	0.5780392188	1.402571249
193	0.5787077707	1.397963961
194	0.5798391726	1.395359498
195	0.5810205779	1.391721452
196	0.5809055327	1.390689094
197	0.5822780931	1.386506696
198	0.5823135796	1.384101242
199	0.5854219513	1.379256446
200	0.586008972	1.375619021
201	0.5863015613	1.371948785
202	0.5849410471	1.367195328
203	0.5865055487	1.365002402
204	0.5876090662	1.361097441
205	0.5878703461	1.359003018
206	0.5884311321	1.358345901
207	0.5900354581	1.354449106
208	0.5912473103	1.349859665
209	0.5912858262	1.347051887
210	0.5917112639	1.345841878
211	0.593442485	1.341883074
212	0.5936069225	1.339209683
213	0.5937553105	1.336015411
214	0.5941651037	1.334738997
215	0.5944762851	1.333250281
216	0.5949003745	1.329747877
217	0.5949550357	1.328569797
218	0.5972396905	1.323580926
219	0.5983416182	1.320037523
220	0.5994968745	1.317521807
221	0.6015436675	1.314310193
222	0.6022542234	1.310199103
223	0.6032293892	1.309131358
224	0.603809468	1.307416787
225	0.6049549368	1.304229402
226	0.6054688062	1.302548156
227	0.6073671061	1.297961997
228	0.6072584496	1.29763751
229	0.607731194	1.296090719
230	0.6080072565	1.294573819
231	0.6087597092	1.293487604
232	0.6089429281	1.291823024
233	0.6094907526	1.290269076
234	0.6097604553	1.288915738
235	0.6105671029	1.287149819
236	0.6111678045	1.283452809
237	0.6114664439	1.282768582
238	0.6124221848	1.280966619
239	0.6133112684	1.277646714
240	0.6137415022	1.276016136
241	0.6143941556	1.273383167
242	0.615833282	1.269571344
243	0.6172077664	1.266865244
244	0.6190979994	1.263909634
245	0.6217568835	1.260840028
246	0.6224424839	1.255109151
247	0.622659802	1.253885061
248	0.6228160685	1.251487767
249	0.623769569	1.249432554
250	0.6237608685	1.24755511
251	0.6251304953	1.243063933
252	0.6262173088	1.239213707
253	0.626067626	1.238076922
254	0.6259259185	1.237087758
255	0.6258953449	1.236385538
256	0.6264277535	1.234004676
257	0.6277237315	1.232139024
258	0.629363736	1.230153336
259	0.6297964349	1.227706544
260	0.6306182132	1.224148453
261	0.6313673701	1.222120847
262	0.6318386332	1.21970293
263	0.6321098269	1.218224362
264	0.6324817014	1.216809045
265	0.6329605259	1.215237035
266	0.6339117157	1.213378838
267	0.6348522666	1.209998899
268	0.6351388259	1.207919615
269	0.6363191329	1.20500228
270	0.636605738	1.203223751
271	0.6371521437	1.200641167
272	0.6371523586	1.200206058
273	0.6377515828	1.198211024
274	0.6387356434	1.196852798
275	0.6397568396	1.193563365
276	0.6399267708	1.192147739
277	0.6403035034	1.190427189
278	0.6409014247	1.187889076
279	0.642257259	1.184386917
280	0.6423237405	1.180718006
281	0.6427371822	1.177355176
282	0.6431437636	1.176390414
283	0.6433582651	1.175456526
284	0.6449200176	1.172167397
285	0.6458259665	1.168835719
286	0.6463068953	1.167584054
287	0.6469579445	1.165268115
288	0.6471124402	1.163447165
289	0.6478675053	1.16161694
290	0.648085074	1.161015964
291	0.6487971757	1.156706781
292	0.6496341999	1.154174143
293	0.6502902731	1.152318795
294	0.6516505717	1.149463282
295	0.6518056193	1.14782949
296	0.6522944813	1.146184103
297	0.6525761939	1.144491587
298	0.6531458372	1.143365605
299	0.653631744	1.14114171
300	0.6535678464	1.139729754
301	0.6542027283	1.136614662
302	0.6548258151	1.13376862
303	0.6550414663	1.132710543
304	0.655797115	1.130865916
305	0.6555632893	1.129809827
306	0.6558916272	1.128776512
307	0.6564855877	1.127365822
308	0.6571798505	1.125767561
309	0.6578722593	1.123893365
310	0.6580147994	1.12290775
311	0.6585604465	1.121438194
312	0.6587845847	1.119482609
313	0.658652414	1.118974811
314	0.6587041688	1.117023253
315	0.6592781609	1.115054107
316	0.6592712949	1.113376965
317	0.6596671084	1.112314952
318	0.6603373288	1.110982022
319	0.660926608	1.10909817
320	0.6610737654	1.108006252
321	0.6613887176	1.107147615
322	0.661696218	1.105230687
323	0.6617119979	1.103458908
324	0.661958678	1.102383665
325	0.6624470285	1.100170641
326	0.6624674367	1.099405699
327	0.6636812564	1.09754311
328	0.6644090432	1.096616976
329	0.6644862497	1.095006083
330	0.6652548161	1.090763618
331	0.665671105	1.089218711
332	0.6660550775	1.088396522
333	0.6671343145	1.085466876
334	0.6676889367	1.084025485
335	0.667975483	1.082324205
336	0.6682558854	1.080910857
337	0.6682692082	1.080143108
338	0.6683719174	1.079258748
